VarType,Rowtext ,Name ,Units ,Type ,Description ,Parameters
Sample Metadata ,collection_method ,Sample Collection Method ,,text ,"Description or reference for the method of gas or other sample type collection. If gas, include relevant data such as incubation temp, moisture and time; if other document whether the sample was collected directly in the field, any additional processing or isolation steps in the laboratory. Controlled vocabulary: core_pit ",
Sample Metadata ,rc_lab ,Radiocarbon Laboratory ID ,,text ,Laboratory code for radiocarbon laboratory. Complete list of past and present laboratory codes can found published in Radiocarbon in November 2011 (http://www.radiocarbon.org/In fo/labcodes.html). Controlled vocabulary: rc_lab ,rc_lab_number;; ; 
"Soil Layer, Fraction, Gas and/or Other Sample ",13c ,C ,‰ ,real ,Per mille signature of C relative to Pee Dee Belemnite. ,
"Soil Layer, Fraction, Gas and/or Other Sample ",14c_age ,Uncalibrated Radiocarbon Age ,bp ,real ,"Uncalibrated radiocarbon age of bulk soil in layer, as calculated from corrected fraction modern, using the Libby half-life value of 5568 years. ",;;14c_age_sigma ; 
"Soil Layer, Fraction, Gas and/or Other Sample ",15n ,N ,‰ ,real ,Per mille signature of N relative to air (international standard). ,
"Soil Layer, Fraction, Gas and/or Other Sample ",c_method ,Carbon Analysis Method ,,text ,"Provide reference or describe the sample preparation and analysis methods used to determine carbon concentrations, whether Total Carbon, organic C, or Loss on Ignition. ",
"Soil Layer, Fraction, Gas and/or Other Sample ",c_to_n ,C:N ,mass % ,real ,"Mass ratio of total carbon to total nitrogen, as calculated from the total carbon and total nitrogen concentrations of the bulk layer, fraction, or other sample type. ",
"Soil Layer, Fraction, Gas and/or Other Sample ",c_tot ,Total Carbon ,% ,real ,"Percent by weight of carbon in the dried, milled soil sample. This measurement will typically correspond to analytical results from an elemental analyzer. ",
"Soil Layer, Fraction, Gas and/or Other Sample ",fraction_modern ,Fraction Modern ,,real ,"Deviation of the bulk sample or fraction from modern. Modern is defined as 95% of the radiocarbon concentration (in AD 1950) of NBS Oxalic Acid standard, 13C-corrected. ",;;fraction_modern_sigma; 
"Soil Layer, Fraction, Gas and/or Other Sample ",loi ,Loss on Ignition ,% ,real ,Percent by weight of the organic content of the <2mm fraction is the organic material lost after ignition. It is reported on a <2 mm base. Please document the method in the associated Carbon Analysis Method. ,
"Soil Layer, Fraction, Gas and/or Other Sample ",n_tot ,Total Nitrogen ,% ,real ,Percent by weight of nitrogen (organic and inorganic) in an oven-dried sample (the laboratory analytical concentration). ,
"Soil Layer, Fraction, Gas and/or Other Sample ",no_soc ,No soil carbon computation ,g cm-2 ,real ,Unable to compute Soil Organic Carbon (soc) without gap filling. The data value is set to 0. This variable can be used to simply locate samples with missing or out of range carbon or bulk density measurements. ,
"Soil Layer, Fraction, Gas and/or Other Sample ",oc ,Organic Carbon ,% ,real ,"Percent by weight of carbon in a dried soil sample after acidification with HCl, OR organic carbon as estimated by Walkley-Black Modified Acid- Dichromate (e.g. ‘Organic Carbon’ in the NRCS database). Please document the method in the associated Carbon Analysis Methods. ",
